epoch,loss,mae,val_loss,val_mae
0,0.10314266383647919,0.25343582034111023,0.04755466803908348,0.21248283982276917
1,0.028060004115104675,0.1390819549560547,0.016413653269410133,0.11094321310520172
2,0.021160073578357697,0.12436103075742722,0.009949143044650555,0.08217667788267136
3,0.01953916624188423,0.11711113899946213,0.010718383826315403,0.08513947576284409
4,0.01928100734949112,0.1179526224732399,0.011468666605651379,0.08780931681394577
5,0.0187677089124918,0.11346100270748138,0.007187624927610159,0.07429182529449463
6,0.019367102533578873,0.1163267120718956,0.01295535545796156,0.09499593824148178
7,0.018855273723602295,0.11718099564313889,0.012051827274262905,0.09101379662752151
8,0.01786869205534458,0.1128440722823143,0.019844606518745422,0.12676629424095154
9,0.018209656700491905,0.1125686839222908,0.013131995685398579,0.09905116260051727
10,0.018157275393605232,0.1143396720290184,0.009446769021451473,0.08203664422035217
11,0.01808066852390766,0.11337170749902725,0.012852729298174381,0.09947284311056137
12,0.01883547380566597,0.11510195583105087,0.019282907247543335,0.12804889678955078
13,0.016739048063755035,0.10919211059808731,0.009897780604660511,0.08631575107574463
14,0.01682007871568203,0.10955262929201126,0.013329081237316132,0.10404293239116669
15,0.0165810976177454,0.10941872745752335,0.014570586383342743,0.11030901968479156
16,0.016681509092450142,0.10762984305620193,0.008157872594892979,0.07843880355358124
17,0.015983622521162033,0.1080441102385521,0.01559787429869175,0.11475151777267456
18,0.015725228935480118,0.10403577238321304,0.021947402507066727,0.14036348462104797
19,0.01622011698782444,0.10738006979227066,0.017396053299307823,0.1230139210820198
0,0.06453769654035568,0.20249707996845245,0.07718877494335175,0.2721650302410126
1,0.02760811150074005,0.1408930867910385,0.012339730747044086,0.09237600862979889
2,0.02129960060119629,0.12109048664569855,0.010682189837098122,0.08854590356349945
3,0.01970878429710865,0.11813095211982727,0.016601089388132095,0.1053740382194519
4,0.019579730927944183,0.11796106398105621,0.01589641161262989,0.10299494862556458
5,0.019015423953533173,0.11581289023160934,0.014840744435787201,0.09924755245447159
6,0.018872613087296486,0.11459338665008545,0.017291205003857613,0.1109134629368782
7,0.018779737874865532,0.11356902122497559,0.010075019672513008,0.08389521390199661
8,0.018672291189432144,0.11645450443029404,0.012341971509158611,0.09173813462257385
9,0.018256571143865585,0.11392153799533844,0.0117269866168499,0.08946400135755539
10,0.0175640769302845,0.11122535169124603,0.011589758098125458,0.09043232351541519
11,0.017678475007414818,0.11212215572595596,0.014515841379761696,0.10562889277935028
12,0.018610386177897453,0.11523699760437012,0.013031178154051304,0.09875034540891647
13,0.017260026186704636,0.11140398681163788,0.01571565680205822,0.11273034662008286
14,0.017206091433763504,0.10837162286043167,0.018540119752287865,0.12465748935937881
15,0.017211345955729485,0.11286426335573196,0.007554140407592058,0.0728711485862732
16,0.0166074950248003,0.10820712894201279,0.014570471830666065,0.1086646020412445
17,0.0157527644187212,0.10689032822847366,0.01258255448192358,0.10195145756006241
18,0.016019456088542938,0.1077873706817627,0.023604780435562134,0.1467997133731842
19,0.01682468317449093,0.1088109090924263,0.004815932363271713,0.059026967734098434
